,Network,Name,Slat,Slon,Selv,Quake#,Mag,Qlat,Qlon,Qdep,OrgT,rhyp,Parr,Sarr
194,HC,KNDR,35.2348,23.6248,13.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,357.810014404,2020-08-08T08:15:05.295240Z,2020-08-08T08:15:28.013337Z
195,HC,KNDR,35.2348,23.6248,13.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,356.155363827,2020-08-09T06:12:13.132597Z,2020-08-09T06:12:35.745636Z
196,HC,KNDR,35.2348,23.6248,13.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,316.923026238,2020-09-18T22:18:04.505242Z,2020-09-18T22:18:24.627339Z
197,HT,KNT,41.162,22.898,380.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,407.685619889,2020-03-09T22:20:35.812003Z,2020-03-09T22:21:01.696804Z
198,HT,KNT,41.162,22.898,380.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,400.367997526,2020-04-06T02:32:27.550476Z,2020-04-06T02:32:52.970666Z
199,HT,KNT,41.162,22.898,380.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,387.968507734,2020-08-08T08:15:10.082303Z,2020-08-08T08:15:34.715224Z
200,HT,KNT,41.162,22.898,380.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,408.949970319,2020-08-09T06:12:21.512694Z,2020-08-09T06:12:47.477771Z
201,HT,KNT,41.162,22.898,380.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,446.561299956,2020-09-18T22:18:25.082746Z,2020-09-18T22:18:53.435844Z
202,HT,KPRO,39.95495,21.36321,837.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,252.107815565,2020-03-09T22:20:11.117114Z,2020-03-09T22:20:27.123959Z
203,HT,KPRO,39.95495,21.36321,837.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,249.677569674,2020-04-06T02:32:03.631360Z,2020-04-06T02:32:19.483904Z
204,HT,KPRO,39.95495,21.36321,837.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,230.157589015,2020-08-08T08:14:45.032951Z,2020-08-08T08:14:59.646131Z
205,HT,KPRO,39.95495,21.36321,837.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,246.665392388,2020-08-09T06:11:55.753237Z,2020-08-09T06:12:11.414532Z
