,Network,Name,Slat,Slon,Selv,Quake#,Mag,Qlat,Qlon,Qdep,OrgT,rhyp,Parr,Sarr
94,HL,EAG2,38.54385,26.1079,1.5,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,425.536731862,2020-03-09T22:20:38.645513Z,2020-03-09T22:21:05.663718Z
95,HL,EAG2,38.54385,26.1079,1.5,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,410.178677996,2020-04-06T02:32:29.107727Z,2020-04-06T02:32:55.150817Z
96,HP,EFP,38.4269,21.9058,107.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,94.5587028497,2020-03-09T22:19:46.109318Z,2020-03-09T22:19:52.113045Z
97,HP,EFP,38.4269,21.9058,107.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,85.4277373681,2020-04-06T02:31:37.559958Z,2020-04-06T02:31:42.983942Z
98,HP,EFP,38.4269,21.9058,107.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,78.1262397823,2020-08-08T08:14:20.900990Z,2020-08-08T08:14:25.861387Z
99,HP,EFP,38.4269,21.9058,107.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,132.806773435,2020-09-18T22:17:35.280440Z,2020-09-18T22:17:43.712616Z
100,HT,EVGI,38.621,20.656,249.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,121.768136759,2020-03-09T22:19:50.428276Z,2020-03-09T22:19:58.159586Z
101,HT,EVGI,38.621,20.656,249.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,127.849273826,2020-04-06T02:31:44.293536Z,2020-04-06T02:31:52.410950Z
102,HT,EVGI,38.621,20.656,249.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,101.671183857,2020-08-08T08:14:24.638283Z,2020-08-08T08:14:31.093596Z
103,HT,EVGI,38.621,20.656,249.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,106.58236734,2020-08-09T06:11:33.517836Z,2020-08-09T06:11:40.284971Z
104,HT,EVGI,38.621,20.656,249.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,150.625158681,2020-09-18T22:17:38.108755Z,2020-09-18T22:17:47.672257Z
105,HL,EVR,38.91657,21.8105,1037.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,141.943898772,2020-03-09T22:19:53.630778Z,2020-03-09T22:20:02.643089Z
106,HL,EVR,38.91657,21.8105,1037.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,135.799058598,2020-04-06T02:31:45.555406Z,2020-04-06T02:31:54.177569Z
107,HL,EVR,38.91657,21.8105,1037.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,121.943645883,2020-08-08T08:14:27.856134Z,2020-08-08T08:14:35.598588Z
108,HL,EVR,38.91657,21.8105,1037.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,143.188859405,2020-08-09T06:11:39.328390Z,2020-08-09T06:11:48.419747Z
109,HL,EVR,38.91657,21.8105,1037.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,180.81979059,2020-09-18T22:17:42.901554Z,2020-09-18T22:17:54.382176Z
110,HP,FSK,38.4593,20.5623,113.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,111.958888266,2020-03-09T22:19:48.871252Z,2020-03-09T22:19:55.979753Z
111,HP,FSK,38.4593,20.5623,113.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,120.041553869,2020-04-06T02:31:43.054215Z,2020-04-06T02:31:50.675901Z
112,HP,FSK,38.4593,20.5623,113.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,93.680130605,2020-08-08T08:14:23.369862Z,2020-08-08T08:14:29.317807Z
113,HT,GRG,40.957,22.401,560.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,373.910711688,2020-03-09T22:20:30.450907Z,2020-03-09T22:20:54.191269Z
114,HT,GRG,40.957,22.401,560.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,367.813616169,2020-04-06T02:32:22.383114Z,2020-04-06T02:32:45.736359Z
115,HT,GRG,40.957,22.401,560.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,353.382712307,2020-08-08T08:15:04.592494Z,2020-08-08T08:15:27.029492Z
116,HT,GRG,40.957,22.401,560.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,373.343631685,2020-08-09T06:12:15.860894Z,2020-08-09T06:12:39.565251Z
117,HT,GRG,40.957,22.401,560.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,412.732886627,2020-09-18T22:18:19.713157Z,2020-09-18T22:18:45.918419Z
118,HP,GUR,37.9363,22.3423,1087.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,89.3776264968,2020-03-09T22:19:45.286925Z,2020-03-09T22:19:50.961695Z
119,HP,GUR,37.9363,22.3423,1087.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,74.1514126552,2020-04-06T02:31:35.770066Z,2020-04-06T02:31:40.478092Z
120,HP,GUR,37.9363,22.3423,1087.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,88.1902582596,2020-08-08T08:14:22.498454Z,2020-08-08T08:14:28.097835Z
121,HP,GUR,37.9363,22.3423,1087.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,116.283400356,2020-09-18T22:17:32.657683Z,2020-09-18T22:17:40.040756Z
122,HL,GVD,34.83914,24.08738,170.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,398.592581537,2020-03-09T22:20:34.368664Z,2020-03-09T22:20:59.676129Z
123,HL,GVD,34.83914,24.08738,170.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,391.767377144,2020-04-06T02:32:26.185298Z,2020-04-06T02:32:51.059417Z
124,HL,GVD,34.83914,24.08738,170.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,417.937407149,2020-08-08T08:15:14.839271Z,2020-08-08T08:15:41.374979Z
125,HL,GVD,34.83914,24.08738,170.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,416.762334077,2020-08-09T06:12:22.752751Z,2020-08-09T06:12:49.213852Z
126,HL,GVD,34.83914,24.08738,170.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,377.773015501,2020-09-18T22:18:14.163971Z,2020-09-18T22:18:38.149559Z
127,HC,GVDS,34.8389,24.0585,358.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,376.040834612,2020-09-18T22:18:13.889021Z,2020-09-18T22:18:37.764630Z
128,HT,HORT,40.5978,23.0996,933.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,356.046150862,2020-03-09T22:20:27.615262Z,2020-03-09T22:20:50.221367Z
129,HT,HORT,40.5978,23.0996,933.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,347.387885461,2020-04-06T02:32:19.140934Z,2020-04-06T02:32:41.197308Z
130,HT,HORT,40.5978,23.0996,933.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,337.543136039,2020-08-08T08:15:02.078276Z,2020-08-08T08:15:23.509586Z
131,HT,HORT,40.5978,23.0996,933.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,359.642283429,2020-08-09T06:12:13.686077Z,2020-08-09T06:12:36.520507Z
132,HT,HORT,40.5978,23.0996,933.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,394.643344731,2020-09-18T22:18:16.841801Z,2020-09-18T22:18:41.898521Z
133,HL,IACM,35.3058,25.0709,45.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,423.128591717,2020-03-09T22:20:38.263269Z,2020-03-09T22:21:05.128576Z
134,HL,IACM,35.3058,25.0709,45.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,439.312081178,2020-08-08T08:15:18.232076Z,2020-08-08T08:15:46.124907Z
135,HL,IACM,35.3058,25.0709,45.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,443.70849631,2020-08-09T06:12:27.029920Z,2020-08-09T06:12:55.201888Z
136,HL,IACM,35.3058,25.0709,45.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,411.008942612,2020-09-18T22:18:19.439515Z,2020-09-18T22:18:45.535321Z
137,HL,IDI,35.288,24.89,750.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,411.887927414,2020-03-09T22:20:36.479036Z,2020-03-09T22:21:02.630651Z
138,HL,IDI,35.288,24.89,750.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,402.226066051,2020-04-06T02:32:27.845407Z,2020-04-06T02:32:53.383570Z
139,HL,IDI,35.288,24.89,750.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,428.506162068,2020-08-08T08:15:16.516851Z,2020-08-08T08:15:43.723592Z
140,HL,IDI,35.288,24.89,750.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,432.242471799,2020-08-09T06:12:25.209916Z,2020-08-09T06:12:52.653883Z
141,HL,IDI,35.288,24.89,750.0,438.0,3.5,37.3485,21.2517,20.0,2020/9/18T22:17:14.2,398.724424046,2020-09-18T22:18:17.489591Z,2020-09-18T22:18:42.805428Z
142,HT,IGT,39.5315,20.3299,262.0,95.0,4.1,37.684,21.3785,20.0,2020/3/9T22:19:31.1,224.501520237,2020-03-09T22:20:06.735162Z,2020-03-09T22:20:20.989227Z
143,HT,IGT,39.5315,20.3299,262.0,120.0,3.6,37.7106,21.5497,58.0,2020/4/6T2:31:24.0,228.342170015,2020-04-06T02:32:00.244789Z,2020-04-06T02:32:14.742704Z
144,HT,IGT,39.5315,20.3299,262.0,391.0,3.6,37.8818,21.3419,21.0,2020/8/8T8:14:8.5,203.186748143,2020-08-08T08:14:40.751865Z,2020-08-08T08:14:53.652611Z
145,HT,IGT,39.5315,20.3299,262.0,392.0,4.4,37.7399,21.1395,20.0,2020/8/9T6:11:16.6,211.002987803,2020-08-09T06:11:50.092538Z,2020-08-09T06:12:03.489553Z
